OKUL ADI;ADRES;TELEFON;FAX;WEB ADRES;KURUM TUR ADI
TUZLA MEVLANA ANAOKULU;Orta Mah. Erkılıç Sk. Tuzla Mevlana İlkokulu/İmamhatip Ortaokulu Blok No: 41 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 02 69;(216) 304 02 68;773416.meb.k12.tr;Anaokulu
TUZLA ORHANLI ÇOK PROGRAMLI ANADOLU LİSESİ;Orhanlı Mah. Ulubatlı Hasan Cad. Orhanlı Lisesi Sitesi No: 26 İç Kapı No: 1 Tuzla / İstanbul;(216) 394 30 12;(216) 394 30 13;orhanlimtal.meb.k12.tr;Çok Programlı Anadolu Lisesi
TUZLA OSMANGAZİ ANAOKULU;Aydınlı Mah. Mutlu Sk. Osmangazı İlköğretım Okulu Blok No: 12/2 Tuzla / İstanbul;(216) 393 28 18;(216) 393 28 18;773572.meb.k12.tr;Anaokulu
TUZLA REHBERLİK VE ARAŞTIRMA MERKEZİ;Aydıntepe Mah. Batu Sk. No: 29 Tuzla / İstanbul;(216) 446 81 83;(216) 446 81 84;tuzlaram.meb.k12.tr;Rehberlik ve Araştırma Merkezi
TUZLA SÜLEYMAN DEMİREL MESLEKİ VE TEKNİK ANADOLU LİSESİ;Aydıntepe Mah. Fedakar Sokak No:1 Pk:34947 Tuzla/İstanbul;(216) 493 70 60;(216) 392 70 01;sdticaret.meb.k12.tr;Anadolu Meslek Programı
ULUBATLI HASAN İLKOKULU;Aydınlı Mah. Sadrazam Sk. Ulubatlı Hasan Ilk Ve Orta Okulu Blok No: 22 İç Kapı No: 1 Tuzla / İstanbul;(216) 393 18 79;(216) 393 18 79;tuzlaulubatlihasan.meb.k12.tr;İlkokul
ULUBATLI HASAN ORTAOKULU;Aydınlı Mah. Sadrazam Sk. Ulubatlı Hasan Ilk Ve Orta Okulu Blok No: 22 İç Kapı No: 1 Tuzla / İstanbul;(216) 393 18 79;(216) 393 18 79;tuzlaulubatlihasanortaokulu.meb.k12.tr;Ortaokul
VALA GEDİK ÖZEL EĞİTİM MESLEK OKULU;Yayla Mah. Şinasi Dural Cad. Tuzla Cezerı Meslekı Teknık Ve Anadolu Lısesı Blok No: 51 Tuzla / İstanbul;(216) 493 13 11;(216) 392 45 77;tuzlavalagedikmem.meb.k12.tr;Özel Eğitim Meslek Okulu (Zihinsel Engelliler)
YILDIZ- ALİ HASOĞLU İMAM HATİP ORTAOKULU;İstasyon Mah. Hançer Sk. Yıldız Ali İmam Hatip Ortaokul Sitesi - Blok No: 16 Tuzla / İstanbul;(216) 446 06 96;(216) 446 06 97;yildizalihasogluiho.meb.k12.tr;İmam Hatip Ortaokulu
YUNUS EMRE ANADOLU İMAM HATİP LİSESİ;Mimar Sinan Mah. Şekerpınar Cadde No:23 Pk:34950 Tuzla/İstanbul;(216) 423 52 82;(216) 423 50 50;tuzlayunusemreihl.meb.k12.tr;İmam Hatip Lisesi
YUNUS EMRE İMAM HATİP ORTAOKULU;Şifa Mah. Mihmandar Sk. Yunus Emre Ortaokulu Blok No: 3 Tuzla / İstanbul;(216) 423 18 53;0;tuzlayunusemreiho.meb.k12.tr;İmam Hatip Ortaokulu
YUNUS EMRE ORTAOKULU;Şifa Mah. Mihmandar Sk. Yunus Emre Ortaokulu Blok No: 3 Tuzla / İstanbul;(216) 423 18 53;(216) 423 15 86;tuzlayunusemreoo.meb.k12.tr;Ortaokul
YUNUS EMRE TUZLA ANAOKULU;Şifa Mah. Mihmandar Sk. Yunus Emre Ortaokulu Blok No: 3 İç Kapı No: 1 Tuzla / İstanbul;(216) 423 18 53;0;770098.meb.k12.tr;Anaokulu
ZÜBEYDE HANIM İLKOKULU;Aydıntepe Mah. Sevim Sk. Zübeyde Hanım İöo Blok No: 2 İç Kapı No: 1 Tuzla / İstanbul;(216) 494 27 37;(216) 494 27 32;tuzlazubeydeio.meb.k12.tr;İlkokul
ZÜBEYDE HANIM TUZLA ANAOKULU;Aydıntepe Mah. Sevim Sk. Zübeyde Hanım Ilkokulu Blok No: 2 İç Kapı No: 1 Tuzla / İstanbul;(216) 494 27 37;(216) 494 27 32;770109.meb.k12.tr;Anaokulu
İSTANBUL MEDENİYET ÜNİVERSİTESİ (DİŞ HEKİMLİĞİ,TURİZM FAKÜLTESİ);Fatih Mahallesi, Eski Ankara Asfaltı Caddesi. No:28 Tuzla/İstanbul;(216) 280 33 33 ;0;medeniyet.edu.tr;Üniversite
İSTANBUL TEKNİK ÜNİVERSİTESİ (DENİZCİLİK FAKÜLTESİ);Postane Mah. İTÜ Denizcilik Fakültesi, 34940 Tuzla/İstanbul;(216) 395 10 64;0;df.itu.edu.tr/;Üniversite
OKAN ÜNİVERSİTESİ;Tepeören Mah. Ballıca Yolu Cad. İstanbul Okan Üniversitesi Rektörlük Blok No: 11/11 Tuzla/İstanbul;(216) 677 16 30;0;okan.edu.tr;Üniversite
PİRİ REİS ÜNİVERSİTESİ;Postane Mah.  Eflatun Sk. No:8, 34940 Tuzla/İstanbul;(216) 581 00 50;0;pirireis.edu.tr/;Üniversite
SABANCI ÜNİVERSİTESİ;Orta Mahalle, Üniversite Cd. No: 27, 34956 Tuzla/İstanbul;(216) 581 00 51;(21)483 90 00;sabanciuniv.edu.tr;Üniversite
